channel_id,sequence,send_height,ack_height,block_delay
channel-208,1491468,30397904,30397915,11
channel-750,686226,30397905,30397915,10
channel-412,64713,30397906,30397914,8
channel-4,167116,30397907,30397916,9
channel-92956,247,30397916,30397931,15
channel-89321,19625,30397926,30397934,8
channel-750,686227,30397931,30397955,24
channel-122,668593,30397941,30397945,4
channel-750,686228,30397941,30397957,16
channel-143,128523,30397943,30397963,20
channel-6994,1326712,30397944,30397956,12
channel-6994,1326713,30397953,30397967,14
channel-4,167117,30397954,30397963,9
channel-122,668594,30397965,30397969,4
channel-750,686229,30397967,30397978,11
channel-92956,248,30397974,30397987,13
channel-122,668595,30397974,30397978,4
channel-6994,1326714,30397975,30397996,21
channel-85077,61548,30397982,30397991,9
channel-122,668596,30397986,30397990,4
channel-750,686230,30397992,30398003,11
channel-750,686231,30397993,30398015,22
channel-782,310335,30397995,30398002,7
channel-208,1491469,30397996,30398003,7
channel-750,686232,30398001,30398013,12
channel-750,686233,30398003,30398020,17
channel-122,668597,30398005,30398009,4
channel-750,686234,30398007,30398020,13
channel-85077,61549,30398009,30398029,20
channel-6994,1326715,30398023,30398033,10
channel-199,133117,30398030,30398041,11
channel-750,686235,30398034,30398038,4
channel-85077,61550,30398038,30398049,11
channel-522,40462,30398043,30398055,12
channel-0,4041282,30398051,30398060,9
channel-6994,1326716,30398053,30398063,10
channel-0,4041283,30398057,30398070,13
channel-750,686236,30398060,30398091,31
channel-0,4041284,30398064,30398078,14
channel-750,686237,30398064,30398068,4
channel-750,686238,30398072,30398078,6
channel-750,686239,30398073,30398092,19
channel-6994,1326717,30398078,30398088,10
channel-144,86723,30398085,30398095,10
channel-6994,1326718,30398088,30398103,15
channel-750,686240,30398089,30398101,12
channel-750,686241,30398093,30398108,15
channel-750,686242,30398093,30398098,5
channel-750,686243,30398094,30398110,16
channel-0,4041285,30398098,30398113,15
channel-750,686244,30398098,30398110,12
channel-326,538716,30398100,30398108,8
channel-750,686245,30398101,30398116,15
channel-750,686246,30398104,30398114,10
channel-6994,1326719,30398105,30398116,11
channel-146,20039,30398105,30398117,12
channel-75,845532,30398108,30398115,7
channel-0,4041286,30398110,30398122,12
channel-199,133118,30398115,30398125,10
channel-19774,346282,30398118,30398130,12
