channel_id,sequence,send_height,ack_height,block_delay
channel-85077,58909,30201988,30202015,27
channel-750,680731,30201990,30202001,11
channel-143,128214,30201991,30202017,26
channel-750,680732,30201993,30201996,3
channel-208,1489119,30201995,30202006,11
channel-0,4035786,30201995,30202004,9
channel-208,1489120,30201996,30202006,10
channel-122,667446,30201997,30202001,4
channel-750,680733,30201998,30202006,8
channel-6994,1322483,30201999,30202009,10
channel-88,466985,30202001,30202027,26
channel-750,680734,30202001,30202023,22
channel-204,670698,30202004,30202012,8
channel-0,4035787,30202004,30202026,22
channel-1429,140629,30202004,30202015,11
channel-38946,123943,30202007,30202020,13
channel-4,166742,30202008,30202025,17
channel-750,680735,30202015,30202029,14
channel-750,680736,30202018,30202029,11
channel-874,292248,30202018,30202025,7
channel-750,680737,30202018,30202027,9
channel-750,680738,30202019,30202032,13
channel-750,680739,30202021,30202034,13
channel-750,680740,30202021,30202025,4
channel-0,4035788,30202023,30202038,15
channel-750,680741,30202023,30202034,11
channel-750,680742,30202024,30202032,8
channel-750,680743,30202024,30202054,30
channel-750,680744,30202024,30202036,12
channel-216,94037,30202028,30202032,4
channel-4,166743,30202030,30202059,29
channel-750,680745,30202032,30202044,12
channel-143,128215,30202032,30202043,11
channel-750,680746,30202032,30202037,5
channel-216,94038,30202035,30202039,4
channel-750,680747,30202035,30202040,5
channel-750,680748,30202037,30202050,13
channel-91017,2693,30202037,30202045,8
channel-204,670699,30202038,30202044,6
channel-5,184173,30202042,30202049,7
channel-85077,58910,30202047,30202068,21
channel-208,1489121,30202048,30202054,6
channel-750,680749,30202048,30202059,11
channel-750,680750,30202049,30202058,9
channel-0,4035789,30202050,30202069,19
channel-750,680751,30202050,30202062,12
channel-750,680752,30202052,30202059,7
channel-750,680753,30202053,30202065,12
channel-750,680754,30202053,30202077,24
channel-874,292249,30202054,30202060,6
channel-6994,1322484,30202054,30202068,14
channel-750,680755,30202054,30202070,16
channel-0,4035790,30202054,30202068,14
channel-216,94039,30202054,30202058,4
channel-0,4035791,30202056,30202080,24
channel-0,4035792,30202056,30202068,12
channel-88,466986,30202056,30202070,14
channel-750,680756,30202057,30202066,9
channel-216,94040,30202058,30202062,4
channel-208,1489122,30202058,30202068,10
channel-0,4035793,30202062,30202069,7
channel-208,1489123,30202062,30202070,8
channel-782,310006,30202066,30202070,4
channel-85077,58911,30202068,30202097,29
channel-0,4035794,30202071,30202080,9
channel-216,94041,30202073,30202077,4
channel-750,680757,30202073,30202082,9
channel-0,4035795,30202074,30202094,20
channel-750,680758,30202075,30202082,7
channel-204,670700,30202076,30233757,31681
channel-1429,140630,30202077,30202082,5
channel-750,680759,30202079,30202082,3
channel-143,128216,30202080,30202098,18
channel-750,680760,30202080,30202088,8
channel-85077,58912,30202080,30202097,17
channel-143,128217,30202080,30202089,9
channel-91017,2694,30202080,30202088,8
channel-750,680761,30202080,30202082,2
channel-750,680762,30202080,30202091,11
channel-750,680763,30202080,30202088,8
channel-750,680764,30202080,30202088,8
channel-750,680765,30202082,30202117,35
channel-750,680766,30202082,30202093,11
channel-122,667447,30202082,30202239,157
channel-208,1489124,30202082,30202091,9
channel-750,680767,30202082,30202093,11
channel-122,667448,30202082,30202088,6
channel-208,1489125,30202082,30202091,9
channel-208,1489126,30202082,30202091,9
channel-750,680768,30202085,30202090,5
channel-208,1489127,30202088,30202093,5
channel-208,1489128,30202088,30202093,5
channel-19774,345661,30202090,30202101,11
channel-750,680769,30202090,30202094,4
channel-874,292250,30202091,30202102,11
channel-750,680770,30202091,30202096,5
channel-874,292251,30202092,30202102,10
channel-208,1489129,30202093,30202102,9
channel-208,1489130,30202094,30202105,11
channel-143,128218,30202096,30202106,10
channel-750,680771,30202097,30202112,15
channel-6994,1322485,30202097,30202106,9
channel-85791,3686,30202097,30202107,10
channel-782,310007,30202097,30202102,5
channel-4,166744,30202102,30202169,67
channel-750,680772,30202102,30202113,11
