channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-208,1489110,30201325,30201340.0,15.0,,,,
channel-42,1489763,30201339,30201390.0,51.0,,,,
channel-6994,1322477,30201344,30201370.0,26.0,,,,
channel-0,4035763,30201344,30201353.0,9.0,,,,
channel-19774,345656,30201354,30201363.0,9.0,,,,
channel-85077,58901,30201370,30201383.0,13.0,,,,
channel-208,1489111,30201372,30201385.0,13.0,,,,
channel-73755,5813,30201374,30201382.0,8.0,,,,
channel-750,680685,30201390,30201405.0,15.0,,,,
channel-188,190498,30201390,30201401.0,11.0,,,,
channel-208,1489112,30201405,30201417.0,12.0,,,,
channel-208,1489113,30201409,30201419.0,10.0,,,,
channel-85077,58902,30201414,30201435.0,21.0,,,,
channel-73755,5814,30201414,30201421.0,7.0,,,,
channel-750,680686,30201417,30201429.0,12.0,,,,
channel-88,466982,30201439,30201452.0,13.0,,,,
channel-750,680687,30201442,30201447.0,5.0,,,,
channel-326,537277,30201449,30201464.0,15.0,,,,
channel-73755,5815,30201449,30201458.0,9.0,,,,
channel-75755,5518,30201453,30201465.0,12.0,,,,
channel-85077,58903,30201457,30201464.0,7.0,,,,
channel-188,190499,30201468,30201481.0,13.0,,,,
channel-0,4035764,30201471,30201482.0,11.0,,,,
channel-216,94031,30201486,30201490.0,4.0,,,,
channel-251,85114,30201487,30201498.0,11.0,,,,
channel-0,4035765,30201496,30201515.0,19.0,,,,
channel-0,4035766,30201499,30201512.0,13.0,,,,
channel-88,466983,30201507,30201518.0,11.0,,,,
channel-75,844470,30201537,30201545.0,8.0,,,,
channel-208,1489114,30201546,30201559.0,13.0,,,,
channel-750,680688,30201552,30201561.0,9.0,,,,
channel-204,670695,30201560,30201565.0,5.0,,,,
channel-412,64374,30201567,30201575.0,8.0,,,,
channel-85077,58904,30201567,30201595.0,28.0,,,,
channel-204,670696,30201578,30201587.0,9.0,,,,
channel-75,844471,30201584,30201590.0,6.0,,,,
channel-0,4035767,30201591,30201604.0,13.0,,,,
channel-0,4035768,30201592,30201604.0,12.0,,,,
channel-412,64375,30201592,30201603.0,11.0,,,,
channel-750,680689,30201600,30201607.0,7.0,,,,
channel-750,680690,30201608,30201613.0,5.0,,,,
channel-874,292244,30201619,30201628.0,9.0,,,,
channel-6994,1322478,30201619,30201650.0,31.0,,,,
channel-326,537278,30201623,30201639.0,16.0,,,,
channel-85077,58905,30201627,30201658.0,31.0,,,,
channel-750,680691,30201632,30201644.0,12.0,,,,
channel-6994,1322479,30201665,30201679.0,14.0,,,,
channel-216,94032,30201674,30201678.0,4.0,,,,
channel-6994,1322480,30201679,30201688.0,9.0,,,,
channel-750,680692,30201682,30201692.0,10.0,,,,
channel-750,680693,30201683,30201699.0,16.0,,,,
channel-216,94033,30201689,30201693.0,4.0,,,,
channel-0,4035769,30201691,30201703.0,12.0,,,,
channel-94814,3683,30201699,30201716.0,17.0,,,,
channel-75,844472,30201699,30201706.0,7.0,,,,
channel-750,680694,30201710,30201715.0,5.0,,,,
channel-76971,12204,30201739,30201753.0,14.0,,,,
channel-0,4035770,30201752,30201774.0,22.0,,,,
channel-208,1489115,30201754,30201765.0,11.0,,,,
channel-0,4035771,30201770,30201779.0,9.0,,,,
channel-0,4035772,30201773,30201785.0,12.0,,,,
channel-2716,2662,30201785,30201807.0,22.0,,,,
channel-0,4035773,30201789,30201799.0,10.0,,,,
channel-4,166740,30201789,30201811.0,22.0,,,,
channel-19774,345657,30201803,30201812.0,9.0,,,,
channel-0,4035774,30201806,30201818.0,12.0,,,,
channel-0,4035775,30201814,30201823.0,9.0,,,,
channel-75,844473,30201819,30201827.0,8.0,,,,
channel-0,4035776,30201826,30201847.0,21.0,,,,
channel-6994,1322481,30201843,30201864.0,21.0,,,,
channel-2188,43397,30201851,30201857.0,6.0,,,,
channel-0,4035777,30201853,30201864.0,11.0,,,,
