channel_id,sequence,send_height,ack_height,block_delay
channel-85186,849,30161395,30161409,14
channel-42,1489729,30161406,30161414,8
channel-750,679891,30161416,30161421,5
channel-750,679892,30161418,30161424,6
channel-0,4034862,30161428,30161434,6
channel-0,4034863,30161441,30161453,12
channel-1575,15147,30161472,30161482,10
channel-0,4034864,30161487,30161498,11
channel-42,1489730,30161507,30161514,7
channel-208,1488803,30161517,30161531,14
channel-6994,1322076,30161523,30161533,10
channel-750,679893,30161528,30161538,10
channel-2188,43332,30161537,30161542,5
channel-6994,1322077,30161550,30161561,11
channel-42,1489731,30161552,30161560,8
channel-750,679894,30161581,30161589,8
channel-199,132309,30161583,30161611,28
channel-94814,3654,30161583,30161595,12
channel-874,292130,30161584,30161591,7
channel-750,679895,30161585,30161601,16
channel-72,516334,30161589,30161629,40
channel-750,679896,30161613,30161618,5
channel-874,292131,30161622,30161627,5
channel-874,292132,30161623,30161628,5
channel-0,4034865,30161659,30161670,11
channel-208,1488804,30161683,30161691,8
channel-208,1488805,30161691,30161703,12
channel-326,537073,30161692,30161718,26
channel-208,1488806,30161706,30161717,11
channel-750,679897,30161722,30161726,4
channel-750,679898,30161724,30161736,12
channel-75,844284,30161725,30161732,7
channel-750,679899,30161729,30161733,4
channel-750,679900,30161736,30161748,12
channel-750,679901,30161740,30161745,5
channel-6994,1322078,30161741,30161752,11
channel-750,679902,30161741,30161753,12
channel-750,679903,30161747,30161766,19
channel-85077,58168,30161750,30161769,19
channel-0,4034866,30161751,30161763,12
channel-750,679904,30161752,30161764,12
channel-750,679905,30161754,30161766,12
channel-259,314081,30161758,30161763,5
channel-750,679906,30161759,30161763,4
channel-750,679907,30161764,30161775,11
channel-1,407889,30161767,30161801,34
channel-85077,58169,30161782,30161800,18
channel-6994,1322079,30161784,30161813,29
channel-874,292133,30161790,30161797,7
channel-750,679908,30161799,30161809,10
channel-0,4034867,30161843,30161852,9
channel-750,679909,30161845,30161850,5
channel-0,4034868,30161846,30161857,11
channel-75,844285,30161847,30161856,9
channel-750,679910,30161847,30161852,5
channel-750,679911,30161848,30161861,13
channel-75,844286,30161851,30161858,7
channel-750,679912,30161853,30161864,11
channel-750,679913,30161854,30161864,10
channel-750,679914,30161857,30161870,13
channel-750,679915,30161858,30161870,12
channel-750,679916,30161859,30161864,5
channel-412,64353,30161859,30161867,8
channel-750,679917,30161872,30161886,14
channel-199,132310,30161874,30161885,11
channel-750,679918,30161880,30161894,14
channel-750,679919,30161885,30161897,12
channel-5,184119,30161894,30161905,11
channel-0,4034869,30161897,30161908,11
channel-750,679920,30161911,30161915,4
channel-75,844287,30161913,30161919,6
channel-750,679921,30161914,30161919,5
channel-750,679922,30161915,30161928,13
channel-750,679923,30161918,30161932,14
channel-750,679924,30161920,30161936,16
channel-750,679925,30161921,30161936,15
channel-85077,58170,30161926,30161985,59
channel-6994,1322080,30161928,30161938,10
channel-199,132311,30161931,30161940,9
channel-750,679926,30161940,30161946,6
channel-0,4034870,30161944,30161954,10
channel-750,679927,30161945,30161949,4
channel-0,4034871,30161948,30161960,12
channel-750,679928,30161967,30161972,5
channel-750,679929,30161967,30161972,5
channel-750,679930,30161970,30161983,13
channel-750,679931,30161971,30161983,12
channel-75,844288,30161971,30161978,7
channel-750,679932,30161973,30161978,5
channel-750,679933,30161975,30161986,11
channel-91017,2636,30161981,30161990,9
channel-0,4034872,30161981,30161992,11
channel-0,4034873,30161984,30161997,13
channel-750,679934,30161993,30162006,13
channel-750,679935,30161995,30161999,4
channel-85077,58171,30162009,30162017,8
channel-91017,2637,30162017,30162029,12
channel-5,184120,30162018,30162028,10
channel-750,679936,30162037,30162045,8
channel-91017,2638,30162041,30162048,7
channel-750,679937,30162041,30162053,12
channel-750,679938,30162047,30162053,6
channel-750,679939,30162048,30162062,14
channel-750,679940,30162050,30162064,14
channel-750,679941,30162050,30162064,14
channel-75,844289,30162053,30162059,6
channel-91017,2639,30162058,30162064,6
channel-91017,2640,30162073,30162083,10
channel-208,1488807,30162078,30162091,13
channel-0,4034874,30162079,30162092,13
channel-750,679942,30162096,30162109,13
channel-750,679943,30162098,30162102,4
channel-750,679944,30162098,30162112,14
channel-326,537074,30162099,30162105,6
channel-122,667300,30162099,30162102,3
channel-0,4034875,30162104,30162114,10
channel-326,537075,30162104,30162129,25
channel-750,679945,30162111,30162114,3
channel-0,4034876,30162112,30162121,9
channel-750,679946,30162114,30162125,11
channel-6994,1322081,30162115,30162123,8
channel-1,407890,30162119,30162138,19
channel-750,679947,30162130,30162145,15
channel-0,4034877,30162135,30162145,10
channel-0,4034878,30162137,30162146,9
channel-85077,58172,30162140,30162256,116
channel-229,54956,30162140,30162153,13
channel-750,679948,30162146,30162161,15
channel-85791,3674,30162151,30162158,7
channel-750,679949,30162151,30162164,13
channel-783,104098,30162155,30162161,6
channel-208,1488808,30162157,30162168,11
channel-750,679950,30162165,30162170,5
channel-750,679951,30162168,30162185,17
channel-750,679952,30162171,30162185,14
channel-750,679953,30162172,30162186,14
channel-750,679954,30162173,30162186,13
channel-0,4034879,30162174,30162185,11
channel-874,292134,30162176,30162182,6
channel-750,679955,30162181,30162185,4
channel-750,679956,30162193,30162204,11
channel-750,679957,30162196,30162209,13
channel-85077,58173,30162197,30162256,59
channel-2188,43333,30162198,30162203,5
channel-750,679958,30162199,30162209,10
channel-85077,58174,30162201,30162256,55
channel-750,679959,30162202,30162212,10
channel-85077,58175,30162206,30162256,50
channel-0,4034880,30162207,30162217,10
channel-750,679960,30162210,30162224,14
channel-750,679961,30162224,30162234,10
channel-19774,345593,30162230,30162238,8
channel-85077,58176,30162231,30162260,29
channel-143,128185,30162232,30162247,15
channel-0,4034881,30162232,30162242,10
channel-85077,58177,30162238,30162260,22
channel-750,679962,30162239,30162248,9
channel-85077,58178,30162240,30162260,20
channel-85077,58179,30162240,30162260,20
channel-783,104099,30162241,30162247,6
channel-326,537076,30162242,30162247,5
channel-85077,58180,30162252,30162296,44
channel-750,679963,30162256,30162261,5
channel-750,679964,30162261,30162274,13
channel-85077,58181,30162274,30162296,22
channel-750,679965,30162286,30162295,9
channel-38946,123923,30162296,30162312,16
channel-85077,58182,30162298,30162307,9
channel-2494,31795,30162299,30162307,8
channel-750,679966,30162305,30162317,12
channel-783,104100,30162305,30162312,7
channel-85077,58183,30162308,30162326,18
channel-91017,2641,30162312,30162322,10
channel-0,4034882,30162328,30162340,12
channel-750,679967,30162329,30162341,12
channel-750,679968,30162337,30162341,4
channel-0,4034883,30162353,30162364,11
channel-85077,58184,30162353,30162362,9
channel-85077,58185,30162355,30162380,25
channel-783,104101,30162359,30162368,9
channel-85077,58186,30162362,30162395,33
channel-85077,58187,30162363,30162395,32
channel-85077,58188,30162364,30162395,31
channel-6994,1322082,30162370,30162395,25
channel-85077,58189,30162379,30162395,16
channel-85077,58190,30162383,30162398,15
channel-6994,1322083,30162390,30162400,10
channel-85077,58191,30162392,30162419,27
channel-6994,1322084,30162407,30162419,12
channel-89298,18501,30162409,30162421,12
channel-750,679969,30162413,30162427,14
channel-2188,43334,30162421,30162425,4
channel-8945,17729,30162421,30162430,9
channel-1424,7325,30162430,30162441,11
channel-750,679970,30162440,30162454,14
channel-750,679971,30162441,30162447,6
channel-750,679972,30162464,30162468,4
channel-85077,58192,30162476,30162507,31
channel-85077,58193,30162498,30162507,9
channel-85077,58194,30162505,30162539,34
channel-326,537077,30162507,30162532,25
channel-184,137324,30162521,30162532,11
channel-38946,123924,30162551,30162564,13
channel-750,679973,30162575,30162590,15
channel-38946,123925,30162575,30162587,12
channel-750,679974,30162578,30162591,13
channel-750,679975,30162580,30162593,13
channel-750,679976,30162582,30162596,14
channel-750,679977,30162584,30162590,6
channel-874,292135,30162640,30162645,5
channel-750,679978,30162645,30162658,13
channel-208,1488809,30162650,30162659,9
channel-750,679979,30162658,30162662,4
channel-0,4034884,30162671,30162683,12
channel-6994,1322085,30162676,30162686,10
channel-122,667301,30162677,30162681,4
channel-208,1488810,30162686,30162699,13
channel-750,679980,30162707,30162712,5
channel-19774,345594,30162708,30162719,11
channel-208,1488811,30162720,30162729,9
channel-38946,123926,30162742,30162764,22
channel-0,4034885,30162753,30162765,12
channel-0,4034886,30162759,30162769,10
