channel_id,sequence,send_height,ack_height,block_delay
channel-0,4037081,30250627,30250635,8
channel-122,667680,30250635,30250640,5
channel-208,1489583,30250667,30250680,13
channel-184,137389,30250672,30250684,12
channel-0,4037082,30250683,30250694,11
channel-750,681597,30250684,30250688,4
channel-6994,1323158,30250686,30250695,9
channel-0,4037083,30250714,30250723,9
channel-208,1489584,30250728,30250740,12
channel-122,667681,30250736,30250740,4
channel-0,4037084,30250737,30250745,8
channel-184,137390,30250739,30250751,12
channel-1,408192,30250747,30250770,23
channel-184,137391,30250753,30250764,11
channel-19774,345773,30250759,30250764,5
channel-782,310075,30250762,30250769,7
channel-85077,59435,30250777,30250787,10
channel-6994,1323159,30250791,30250807,16
channel-0,4037085,30250804,30250814,10
channel-1,408193,30250817,30250843,26
channel-19774,345774,30250817,30250826,9
channel-782,310076,30250831,30250833,2
channel-0,4037086,30250832,30250841,9
channel-1,408194,30250851,30250880,29
channel-208,1489585,30250852,30250865,13
channel-0,4037087,30250857,30250869,12
channel-0,4037088,30250869,30250878,9
channel-0,4037089,30250871,30250883,12
channel-88,467066,30250883,30250921,38
channel-91017,2749,30250883,30250891,8
channel-0,4037090,30250893,30250906,13
channel-750,681598,30250896,30250913,17
channel-94814,3735,30250903,30250913,10
channel-72,516395,30250919,30250969,50
channel-0,4037091,30250930,30250939,9
channel-75,844764,30250942,30250951,9
channel-85077,59436,30250966,30250976,10
channel-750,681599,30250982,30250997,15
channel-750,681600,30250995,30251002,7
channel-75,844765,30250997,30251005,8
channel-76971,12217,30251003,30251044,41
channel-750,681601,30251006,30251016,10
channel-6994,1323160,30251006,30251019,13
channel-208,1489586,30251007,30251018,11
channel-0,4037092,30251008,30251032,24
channel-19774,345775,30251019,30251027,8
channel-750,681602,30251026,30251037,11
channel-208,1489587,30251027,30251036,9
channel-0,4037093,30251042,30251052,10
channel-6994,1323161,30251054,30251096,42
channel-0,4037094,30251056,30251065,9
channel-750,681603,30251058,30251071,13
channel-750,681604,30251058,30251062,4
channel-0,4037095,30251062,30251076,14
channel-85077,59437,30251076,30251085,9
channel-750,681605,30251078,30251085,7
channel-122,667682,30251078,30251082,4
channel-6994,1323162,30251081,30251093,12
channel-750,681606,30251082,30251093,11
channel-750,681607,30251087,30251093,6
channel-0,4037096,30251093,30251101,8
channel-72,516396,30251095,30251124,29
channel-750,681608,30251096,30251115,19
channel-85077,59438,30251097,30251108,11
channel-122,667683,30251103,30251107,4
channel-85077,59439,30251103,30251115,12
channel-750,681609,30251105,30251119,14
channel-85077,59440,30251106,30251117,11
channel-208,1489588,30251108,30251122,14
channel-750,681610,30251121,30251127,6
channel-208,1489589,30251132,30251142,10
channel-750,681611,30251132,30251147,15
channel-750,681612,30251140,30251146,6
channel-85077,59441,30251149,30251161,12
channel-0,4037097,30251170,30251196,26
channel-750,681613,30251172,30251177,5
channel-750,681614,30251173,30251177,4
channel-750,681615,30251184,30251189,5
channel-85077,59442,30251185,30251198,13
channel-750,681616,30251201,30251210,9
channel-208,1489590,30251209,30251221,12
channel-208,1489591,30251211,30251221,10
channel-750,681617,30251213,30251224,11
channel-19774,345776,30251219,30251227,8
channel-750,681618,30251225,30251234,9
channel-208,1489592,30251225,30251237,12
channel-85077,59443,30251226,30251236,10
channel-0,4037098,30251231,30251242,11
channel-642,126484,30251241,30251300,59
channel-0,4037099,30251244,30251273,29
channel-0,4037100,30251247,30251254,7
channel-72,516397,30251262,30251284,22
channel-122,667684,30251263,30251267,4
channel-0,4037101,30251279,30251292,13
channel-38946,124050,30251280,30251302,22
channel-122,667685,30251284,30251287,3
channel-75,844766,30251288,30251297,9
channel-0,4037102,30251299,30251313,14
channel-6994,1323163,30251301,30251334,33
channel-750,681619,30251327,30251340,13
channel-1,408195,30251334,30251364,30
channel-0,4037103,30251342,30251353,11
channel-0,4037104,30251343,30251353,10
channel-0,4037105,30251354,30251365,11
channel-750,681620,30251357,30251371,14
channel-122,667686,30251361,30251364,3
channel-6994,1323164,30251367,30251376,9
