peer_id,remote_ip,is_outbound,send_bytes,recv_bytes,edge_weight_MB,edge_color
833d055368c19b8263f8f21aba429650eace5042,49.12.170.121,True,7194223222,7835797143,14333.744397163391,blue
ee636b0fe493b05dc03da440291e68c475213784,51.91.214.93,True,9790449118,9077400280,17993.783376693726,blue
e7de16b4af7be37c1f7622dad4553ae517bf6430,184.107.110.21,False,881399437,783310304,1587.5909242630005,green
c843429ef1b4a551dab64901991c41af2bc4454f,65.108.130.171,False,1183227220,938913253,2023.830864906311,green
1c40be406f1fbf6ce82b4bfbe15a3e1b795741d2,67.209.54.237,False,7276346647,6650848556,13282.00836467743,green
aef2f099d05f01aab172e2e291f21990d5fef904,65.109.92.110,True,5850986765,6435465070,11717.273554801941,blue
ba7d8d3a7aea2f847fa2ab846d776373dcf7c9b5,46.105.223.14,True,9695108258,7648429593,16540.086604118347,blue
7387927874d1950a36e895c0cdf2d198b0bfaef8,135.181.174.106,False,6774592617,7886119483,13981.544589996338,green
63f1915e9d052a04cb11243bb90ff67879dd972c,141.98.219.28,False,2087888424,2065395640,3960.880340576172,green
ac6e9e4162d1852c6150f1a67e405762d71afcb4,65.21.33.233,False,9927438958,4498859661,13757.990473747253,green
f4ca20817f5efc2d30a1ee381afdb0c5e77db20d,3.217.133.209,False,10407820539,8081458320,17632.750376701355,green
2ce4fc49c0b4c82d7de0748ffc46d92e007a36ef,169.150.206.196,True,4582553048,3665633127,7866.083312034607,blue
2179c97dbfe9394ca2d511039d4c51c5e84f79fc,148.113.214.13,False,10450686045,9217744139,18757.276710510254,green
3ddcd917b078dc61d2ff6b7281996acde35ad4fb,141.95.202.13,True,1492072486,1456276382,2811.764591217041,blue
e66d3c9d0f420744d34b1f08f0fed9cfcf433460,51.15.16.119,False,10151741943,5734324583,15150.13363456726,green
7b15dce221b13ca353187b4f7219a94db6b71ad3,185.119.118.109,True,1496981191,1366455189,2730.785732269287,blue
72829b78b38408b03793ed389b9f16596b82c306,146.59.81.92,True,7629280795,8627476975,15503.652353286743,blue
c8b758652b0944e522f11f750d52043429518885,84.32.32.150,False,10390943772,9073941291,18563.16095638275,green
b86b47f7c7ec8c03214d68e5e6b1140dfdd83f68,65.108.23.183,False,8962102727,6698373983,14934.994421005249,green
2d84553df6f780b4808270eac15996fc8d5173f4,146.70.243.174,True,4307093201,4272994779,8182.609539031982,blue
6ea2ef7d3dd5d6967708a0b31eed85ba090a90a1,65.108.121.190,False,2161001565,2401780582,4351.408144950867,green
c7b5e2e7d84930128e7e5f594b299b20c8669463,51.210.155.88,False,10179436303,5870426794,15306.342217445374,green
8220e8029929413afff48dccc6a263e9ac0c3e5e,204.16.247.237,False,2081197552,2087101417,3975.1996698379517,green
0b78e4ab3dd109e51f36d50be323209857fe7513,141.94.242.39,False,10272631669,5978303960,15498.099926948547,green
a141795ff85682aed0338a9c6ce8f08a90c9d289,66.165.248.66,False,10557450773,9176487866,18819.75044155121,green
8352e66b77b4a16bac0dcb82746bfc09cbb11e6b,15.235.115.156,False,10495889144,9105494372,18693.336025238037,green
2b7a7a6044a26bc7e74b0252d0a7d551e8939bd7,74.118.136.19,False,8627578645,8075071251,15928.888221740723,green
