timestamp,n_txs,total,total_bytes
2025-03-24 20:56:55,1,1,501
2025-03-24 20:57:00,2,2,30777
2025-03-24 20:57:05,2,2,30777
2025-03-24 20:57:09,0,0,0
2025-03-24 20:57:14,0,0,0
2025-03-24 20:57:15,1,1,321
2025-03-24 20:57:20,0,0,0
2025-03-24 20:57:24,1,1,319
2025-03-24 20:57:28,1,1,319
2025-03-24 20:57:32,1,1,257
2025-03-24 20:57:37,1,1,15313
2025-03-24 20:57:41,1,1,15313
2025-03-24 20:57:43,0,0,0
2025-03-24 20:57:47,0,0,0
2025-03-24 20:57:51,3,3,27902
2025-03-24 20:57:56,4,4,34381
2025-03-24 20:58:01,2,2,662
2025-03-24 20:58:05,4,4,1488
2025-03-24 20:58:09,1,1,258
2025-03-24 20:58:13,1,1,992
2025-03-24 20:58:15,1,1,992
2025-03-24 20:58:20,0,0,0
2025-03-24 20:58:24,0,0,0
2025-03-24 20:58:28,2,2,670
2025-03-24 20:58:33,1,1,337
2025-03-24 20:58:37,0,0,0
2025-03-24 20:58:42,3,3,16323
2025-03-24 20:58:43,2,2,688
2025-03-24 20:58:48,3,3,1008
2025-03-24 20:58:53,2,2,26997
2025-03-24 20:58:57,1,1,1528
2025-03-24 20:59:01,1,1,336
2025-03-24 20:59:06,1,1,375
2025-03-24 20:59:10,3,3,28689
2025-03-24 20:59:15,1,1,257
2025-03-24 20:59:17,3,3,27746
2025-03-24 20:59:22,2,2,38158
2025-03-24 20:59:26,0,0,0
2025-03-24 20:59:30,2,2,52177
2025-03-24 20:59:35,1,1,15401
2025-03-24 20:59:39,0,0,0
2025-03-24 20:59:44,2,2,850
2025-03-24 20:59:45,1,1,257
2025-03-24 20:59:50,0,0,0
2025-03-24 20:59:54,3,3,27674
2025-03-24 20:59:59,5,5,1873
2025-03-24 21:00:03,8,8,12353
2025-03-24 21:00:08,4,4,11713
2025-03-24 21:00:12,1,1,1095
2025-03-24 21:00:14,2,2,25597
2025-03-24 21:00:19,7,7,39085
2025-03-24 21:00:24,2,2,9209
2025-03-24 21:00:28,2,2,15390
2025-03-24 21:00:33,4,4,42708
2025-03-24 21:00:38,4,4,30335
2025-03-24 21:00:42,0,0,0
2025-03-24 21:00:45,1,1,27301
2025-03-24 21:00:49,10,10,52295
2025-03-24 21:00:55,6,6,30965
2025-03-24 21:00:59,1,1,27014
2025-03-24 21:01:05,6,6,57682
2025-03-24 21:01:10,4,4,56875
2025-03-24 21:01:14,3,3,29073
2025-03-24 21:01:16,1,1,319
2025-03-24 21:01:20,1,1,319
2025-03-24 21:01:25,1,1,15159
2025-03-24 21:01:29,5,5,1764
2025-03-24 21:01:34,3,3,8219
2025-03-24 21:01:38,6,6,25804
2025-03-24 21:01:43,1,1,338
2025-03-24 21:01:44,4,4,6585
2025-03-24 21:01:49,7,7,34745
2025-03-24 21:01:53,1,1,26662
2025-03-24 21:01:58,1,1,399
2025-03-24 21:02:02,2,2,770
2025-03-24 21:02:06,1,1,5205
2025-03-24 21:02:11,5,5,59837
2025-03-24 21:02:14,2,2,32243
2025-03-24 21:02:18,0,0,0
2025-03-24 21:02:22,4,4,10027
2025-03-24 21:02:27,1,1,337
2025-03-24 21:02:31,1,1,26828
2025-03-24 21:02:37,3,3,81413
2025-03-24 21:02:42,4,4,56159
2025-03-24 21:02:44,1,1,29254
2025-03-24 21:02:49,4,4,2491
2025-03-24 21:02:53,7,7,31916
2025-03-24 21:02:58,1,1,333
2025-03-24 21:03:02,1,1,337
2025-03-24 21:03:07,3,3,23080
2025-03-24 21:03:11,2,2,22736
2025-03-24 21:03:13,1,1,1873
2025-03-24 21:03:17,1,1,318
2025-03-24 21:03:22,1,1,318
2025-03-24 21:03:26,1,1,26946
2025-03-24 21:03:31,0,0,0
2025-03-24 21:03:35,4,4,2499
2025-03-24 21:03:39,1,1,677
2025-03-24 21:03:43,1,1,677
2025-03-24 21:03:45,1,1,500
2025-03-24 21:03:49,0,0,0
2025-03-24 21:03:54,0,0,0
2025-03-24 21:03:59,2,2,50406
2025-03-24 21:04:03,2,2,651
2025-03-24 21:04:08,1,1,27248
2025-03-24 21:04:12,2,2,30874
2025-03-24 21:04:14,0,0,0
2025-03-24 21:04:18,1,1,321
2025-03-24 21:04:24,0,0,0
2025-03-24 21:04:29,1,1,28502
2025-03-24 21:04:33,3,3,15832
2025-03-24 21:04:37,1,1,336
